,Best Age
259,445.7429792656107
260,314.7995479961922
261,1878.3612144721048
262,530.1804325047488
263,410.61831123097704
265,209.38508009459386
266,468.1271151835758
267,251.07941136394754
268,491.11305165301223
269,326.01758936148127
270,240.05184733925313
271,446.6192697607291
272,176.46669191126352
273,498.4830170371929
274,202.59019772794954
275,237.8001818753268
276,1852.5365245704775
277,440.6439244630262
278,413.59844048748084
279,316.44191467739324
280,456.79676597421866
281,2207.9999034889656
282,210.03206132586877
283,407.7477344248251
284,823.0874756815233
285,171.3716389317476
286,539.0049324269575
287,420.66909288235087
288,336.58326167896774
289,427.20795561885666
290,1730.521273491505
291,278.7642183504996
292,297.5097732936051
293,214.11036810644794
294,249.62198869339508
295,358.7716869853823
297,415.58650716310683
298,225.07087784611045
299,447.5459414863473
300,813.6162779541481
301,427.53507836824656
302,360.23426202979203
303,431.3571776778737
